Code,Name,Country,Geographical Level,
EU28,European Union (28 countries),,NUTS 1,
EU27,European Union (27 countries),,NUTS 1,
EA17,Euro area (17 countries),,NUTS 1,
BE1,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Belgium,NUTS 1,
BE2,Vlaams Gewest,Belgium,NUTS 1,
BE3,Région wallonne,Belgium,NUTS 1,
BG3,Severna i yugoiztochna Bulgaria,Bulgaria,NUTS 1,
BG4,Yugozapadna i yuzhna tsentralna Bulgaria,Bulgaria,NUTS 1,
CZ0,Ceská republika,Czech Republic,NUTS 1,
DK0,Danmark,Denmark,NUTS 1,
DE1,Baden-Württemberg,Germany (until 1990 former territory of the FRG),NUTS 1,
DE2,Bayern,Germany (until 1990 former territory of the FRG),NUTS 1,
DE3,Berlin,Germany (until 1990 former territory of the FRG),NUTS 1,
DE4,Brandenburg,Germany (until 1990 former territory of the FRG),NUTS 1,
DE5,Bremen,Germany (until 1990 former territory of the FRG),NUTS 1,
DE6,Hamburg,Germany (until 1990 former territory of the FRG),NUTS 1,
DE7,Hessen,Germany (until 1990 former territory of the FRG),NUTS 1,
DE8,Mecklenburg-Vorpommern,Germany (until 1990 former territory of the FRG),NUTS 1,
DE9,Niedersachsen,Germany (until 1990 former territory of the FRG),NUTS 1,
DEA,Nordrhein-Westfalen,Germany (until 1990 former territory of the FRG),NUTS 1,
DEB,Rheinland-Pfalz,Germany (until 1990 former territory of the FRG),NUTS 1,
DEC,Saarland,Germany (until 1990 former territory of the FRG),NUTS 1,
DED,Sachsen,Germany (until 1990 former territory of the FRG),NUTS 1,
DEE,Sachsen-Anhalt,Germany (until 1990 former territory of the FRG),NUTS 1,
DEF,Schleswig-Holstein,Germany (until 1990 former territory of the FRG),NUTS 1,
DEG,Thüringen,Germany (until 1990 former territory of the FRG),NUTS 1,
EE0,Eesti,Estonia,NUTS 1,
IE0,Éire/Ireland,Ireland,NUTS 1,
EL1,Voreia Ellada (NUTS 2010),Greece,NUTS 1,
EL2,Kentriki Ellada (NUTS 2010),Greece,NUTS 1,
EL3,Attiki,Greece,NUTS 1,
EL4,"Nisia Aigaiou, Kriti",Greece,NUTS 1,
EL5,Voreia Ellada,Greece,NUTS 1,
EL6,Kentriki Ellada,Greece,NUTS 1,
ES1,Noroeste (ES),Spain,NUTS 1,
ES2,Noreste (ES),Spain,NUTS 1,
ES3,Comunidad de Madrid,Spain,NUTS 1,
ES4,Centro (ES),Spain,NUTS 1,
ES5,Este (ES),Spain,NUTS 1,
ES6,Sur (ES),Spain,NUTS 1,
ES7,Canarias (ES),Spain,NUTS 1,
FR1,Île de France,France,NUTS 1,
FR2,Bassin Parisien,France,NUTS 1,
FR3,Nord - Pas-de-Calais,France,NUTS 1,
FR4,Est (FR),France,NUTS 1,
FR5,Ouest (FR),France,NUTS 1,
FR6,Sud-Ouest (FR),France,NUTS 1,
FR7,Centre-Est (FR),France,NUTS 1,
FR8,Méditerranée,France,NUTS 1,
FR9,Départements d'outre-mer (NUTS 2010),France,NUTS 1,
FRA,Départements d'outre-mer,France,NUTS 1,
HR0,Hrvatska,Croatia,NUTS 1,
ITC,Nord-Ovest,Italy,NUTS 1,
ITF,Sud,Italy,NUTS 1,
ITG,Isole,Italy,NUTS 1,
ITH,Nord-Est,Italy,NUTS 1,
ITI,Centro (IT),Italy,NUTS 1,
CY0,Kypros,Cyprus,NUTS 1,
LV0,Latvija,Latvia,NUTS 1,
LT0,Lietuva,Lithuania,NUTS 1,
LU0,Luxembourg,Luxembourg,NUTS 1,
HU1,Közép-Magyarország,Hungary,NUTS 1,
HU2,Dunántúl,Hungary,NUTS 1,
HU3,Alföld és Észak,Hungary,NUTS 1,
MT0,Malta,Malta,NUTS 1,
NL1,Noord-Nederland,Netherlands,NUTS 1,
NL2,Oost-Nederland,Netherlands,NUTS 1,
NL3,West-Nederland,Netherlands,NUTS 1,
NL4,Zuid-Nederland,Netherlands,NUTS 1,
AT1,Ostösterreich,Austria,NUTS 1,
AT2,Südösterreich,Austria,NUTS 1,
AT3,Westösterreich,Austria,NUTS 1,
PL1,Region Centralny,Poland,NUTS 1,
PL2,Region Poludniowy,Poland,NUTS 1,
PL3,Region Wschodni,Poland,NUTS 1,
PL4,Region Pólnocno-Zachodni,Poland,NUTS 1,
PL5,Region Poludniowo-Zachodni,Poland,NUTS 1,
PL6,Region Pólnocny,Poland,NUTS 1,
PT1,Continente,Portugal,NUTS 1,
PT2,Região Autónoma dos Açores (PT),Portugal,NUTS 1,
PT3,Região Autónoma da Madeira (PT),Portugal,NUTS 1,
RO1,Macroregiunea unu,Romania,NUTS 1,
RO2,Macroregiunea doi,Romania,NUTS 1,
RO3,Macroregiunea trei,Romania,NUTS 1,
RO4,Macroregiunea patru,Romania,NUTS 1,
SI0,Slovenija,Slovenia,NUTS 1,
SK0,Slovensko,Slovakia,NUTS 1,
FI1,Manner-Suomi,Finland,NUTS 1,
FI2,Åland,Finland,NUTS 1,
SE1,Östra Sverige,Sweden,NUTS 1,
SE2,Södra Sverige,Sweden,NUTS 1,
SE3,Norra Sverige,Sweden,NUTS 1,
UKC,North East (UK),United Kingdom,NUTS 1,
UKD,North West (UK),United Kingdom,NUTS 1,
UKE,Yorkshire and The Humber,United Kingdom,NUTS 1,
UKF,East Midlands (UK),United Kingdom,NUTS 1,
UKG,West Midlands (UK),United Kingdom,NUTS 1,
UKH,East of England,United Kingdom,NUTS 1,
UKI,London,United Kingdom,NUTS 1,
UKJ,South East (UK),United Kingdom,NUTS 1,
UKK,South West (UK),United Kingdom,NUTS 1,
UKL,Wales,United Kingdom,NUTS 1,
UKM,Scotland,United Kingdom,NUTS 1,
UKN,Northern Ireland (UK),United Kingdom,NUTS 1,
CH0,Schweiz/Suisse/Svizzera,Switzerland,NUTS 1,
EA18,Euro area (18 countries),,NUTS 1,
EA19,Euro area (19 countries),,NUTS 1,
EU15,European Union (15 countries),,NUTS 1,
IS0,Ísland,Iceland,NUTS 1,
MK0,Poranesna jugoslovenska Republika Makedonija,"Former Yugoslav Republic of Macedonia, the",NUTS 1,
NO0,Norge,Norway,NUTS 1,
TR1,Istanbul,Turkey,NUTS 1,
TR2,Bati Marmara,Turkey,NUTS 1,
TR3,Ege,Turkey,NUTS 1,
TR4,Dogu Marmara,Turkey,NUTS 1,
TR5,Bati Anadolu,Turkey,NUTS 1,
TR6,Akdeniz,Turkey,NUTS 1,
TR7,Orta Anadolu,Turkey,NUTS 1,
TR8,Bati Karadeniz,Turkey,NUTS 1,
TR9,Dogu Karadeniz,Turkey,NUTS 1,
TRA,Kuzeydogu Anadolu,Turkey,NUTS 1,
TRB,Ortadogu Anadolu,Turkey,NUTS 1,
